elem_number,symbol,period,group,electronegativity,covalent_radius,valence_electrons,first_ionization_energy,log_first_ionization_energy,electron_affinity,block
1,H,1,1,2.10,0.31,1,1312.00,3.12,0.754,s
2,He,1,18,0.00,0.28,2,2372.30,3.38,0.500,s
3,Li,2,1,0.98,1.28,1,520.20,2.72,0.618,s
4,Be,2,2,1.57,0.96,2,899.50,2.95,-0.500,s
5,B,2,13,2.04,0.84,3,800.60,2.90,0.279,p
6,C,2,14,2.55,0.76,4,1086.50,3.04,1.262,p
7,N,2,15,3.04,0.71,5,1402.30,3.15,-0.070,p
8,O,2,16,3.44,0.66,6,1313.90,3.12,1.461,p
9,F,2,17,3.98,0.57,7,1681.00,3.23,3.401,p
10,Ne,2,18,0.00,0.58,8,2080.70,3.32,-1.200,p
11,Na,3,1,0.93,1.66,1,495.80,2.70,0.547,s
12,Mg,3,2,1.31,1.41,2,737.70,2.87,-0.400,s
13,Al,3,13,1.61,1.21,3,577.50,2.76,0.432,p
14,Si,3,14,1.90,1.11,4,786.50,2.90,1.389,p
15,P,3,15,2.19,1.07,5,1011.80,3.01,0.746,p
16,S,3,16,2.58,1.05,6,999.60,3.00,2.077,p
17,Cl,3,17,3.16,1.02,7,1251.20,3.10,3.612,p
18,Ar,3,18,0.00,1.06,8,1520.60,3.18,-1.000,p
19,K,4,1,0.82,2.03,1,418.80,2.62,0.501,s
20,Ca,4,2,1.00,1.76,2,589.80,2.77,0.024,s
21,Sc,4,3,1.36,1.70,3,633.10,2.80,0.188,d
22,Ti,4,4,1.54,1.60,4,658.80,2.82,0.075,d
23,V,4,5,1.63,1.53,5,650.90,2.81,0.527,d
24,Cr,4,6,1.66,1.39,6,652.90,2.81,0.675,d
25,Mn,4,7,1.55,1.39,7,717.30,2.86,-0.500,d
26,Fe,4,8,1.83,1.32,8,762.50,2.88,0.153,d
27,Co,4,9,1.88,1.26,9,760.40,2.88,0.662,d
28,Ni,4,10,1.91,1.24,10,737.10,2.87,1.157,d
29,Cu,4,11,1.90,1.32,11,745.50,2.87,1.235,d
30,Zn,4,12,1.65,1.22,12,906.40,2.96,-0.600,d
31,Ga,4,13,1.81,1.22,3,578.80,2.76,0.301,p
32,Ge,4,14,2.01,1.20,4,762.00,2.88,1.232,p
33,As,4,15,2.18,1.19,5,947.00,2.98,0.804,p
34,Se,4,16,2.55,1.20,6,941.00,2.97,2.020,p
35,Br,4,17,2.96,1.20,7,1139.90,3.06,3.363,p
36,Kr,4,18,0.00,1.16,8,1350.80,3.13,-1.000,p
37,Rb,5,1,0.82,2.20,1,403.00,2.61,0.485,s
38,Sr,5,2,0.95,1.95,2,549.50,2.74,0.052,s
39,Y,5,3,1.22,1.90,3,600.00,2.78,0.307,d
40,Zr,5,4,1.33,1.75,4,640.10,2.81,0.433,d
41,Nb,5,5,1.60,1.64,5,652.10,2.81,0.917,d
42,Mo,5,6,2.16,1.54,6,684.30,2.84,0.747,d
43,Tc,5,7,1.90,1.47,7,702.00,2.85,0.550,d
44,Ru,5,8,2.20,1.46,8,710.20,2.85,1.046,d
45,Rh,5,9,2.28,1.42,9,719.70,2.86,1.142,d
46,Pd,5,10,2.20,1.39,10,804.40,2.91,0.562,d
47,Ag,5,11,1.93,1.45,11,731.00,2.86,1.304,d
48,Cd,5,12,1.69,1.44,12,867.80,2.94,-0.700,d
49,In,5,13,1.78,1.42,3,558.30,2.75,0.383,p
50,Sn,5,14,1.96,1.39,4,708.60,2.85,1.112,p
51,Sb,5,15,2.05,1.39,5,834.00,2.92,1.047,p
52,Te,5,16,2.10,1.38,6,869.30,2.94,1.970,p
53,I,5,17,2.66,1.39,7,1008.40,3.00,3.059,p
54,Xe,5,18,2.60,1.40,8,1170.40,3.07,-0.800,p
55,Cs,6,1,0.79,2.44,1,375.70,2.57,0.471,s
56,Ba,6,2,0.89,2.15,2,502.90,2.70,0.144,s
57,La,8,19,1.10,2.07,3,538.10,2.73,0.557,f
58,Ce,8,19,1.12,2.04,4,534.40,2.73,0.570,f
59,Pr,8,19,1.13,2.03,5,527.00,2.72,0.109,f
60,Nd,8,19,1.14,2.01,6,533.10,2.73,0.097,f
61,Pm,8,19,1.13,1.99,7,540.00,2.73,0.129,f
62,Sm,8,19,1.17,1.98,8,544.50,2.74,0.162,f
63,Eu,8,19,1.20,1.98,9,547.10,2.74,0.116,f
64,Gd,8,19,1.20,1.96,10,593.40,2.77,0.137,f
65,Tb,8,19,1.10,1.94,11,565.80,2.75,0.131,f
66,Dy,8,19,1.22,1.92,12,573.00,2.76,0.352,f
67,Ho,8,19,1.23,1.92,13,581.00,2.76,0.338,f
68,Er,8,19,1.24,1.89,14,589.30,2.77,0.312,f
69,Tm,8,19,1.25,1.90,15,596.70,2.78,1.029,f
70,Yb,8,19,1.10,1.87,16,603.40,2.78,-0.020,f
71,Lu,6,3,1.27,1.87,3,523.50,2.72,0.239,d
72,Hf,6,4,1.30,1.75,4,658.50,2.82,0.178,d
73,Ta,6,5,1.50,1.70,5,761.00,2.88,0.323,d
74,W,6,6,2.36,1.62,6,770.00,2.89,0.816,d
75,Re,6,7,1.90,1.51,7,760.00,2.88,0.060,d
76,Os,6,8,2.20,1.44,8,840.00,2.92,1.077,d
77,Ir,6,9,2.20,1.41,9,880.00,2.94,1.564,d
78,Pt,6,10,2.28,1.36,10,870.00,2.94,2.125,d
79,Au,6,11,2.54,1.36,11,890.10,2.95,2.308,d
80,Hg,6,12,2.00,1.32,12,1007.10,3.00,-0.500,d
81,Tl,6,13,2.04,1.45,3,589.40,2.77,0.377,p
82,Pb,6,14,2.33,1.46,4,715.60,2.85,0.356,p
83,Bi,6,15,2.02,1.48,5,703.00,2.85,0.942,p
84,Po,6,16,2.00,1.40,6,812.10,2.91,1.400,p
85,At,6,17,2.20,1.50,7,899.00,2.95,2.420,p
86,Rn,6,18,0.00,1.50,8,1037.00,3.02,-0.700,p
87,Fr,7,1,0.70,2.60,1,380.00,2.58,0.486,s
88,Ra,7,2,0.89,2.21,2,509.30,2.71,0.100,s
89,Ac,9,20,1.10,2.15,3,499.00,2.70,0.350,f
90,Th,9,20,1.30,2.06,4,587.00,2.77,1.170,f
91,Pa,9,20,1.50,2.00,5,568.00,2.75,0.550,f
92,U,9,20,1.38,1.96,6,597.60,2.78,0.530,f
93,Np,9,20,1.36,1.90,7,604.50,2.78,0.480,f
94,Pu,9,20,1.28,1.87,8,584.70,2.77,-0.500,f
95,Am,9,20,1.30,1.80,9,578.00,2.76,0.100,f
96,Cm,9,20,1.30,1.69,10,581.00,2.76,0.280,f